video_id,channel_id,rank,component,bot_name,phase,phase_level,level,time,watch_video_id
dcDwu_EdJCo,UCJNoPkgW0KSKzBHgFJ3VRtQ,0,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261767,
Vx_60kIXLIU,UCiRiQGCHGjDLT9FQXFW0I3A,1,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261780,
JdGqz2usdlc,UCwlrt1R8SD_PioTACkvEMwA,2,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261783,
MWKQ_qHpl4g,UCHbeg0UGxARySvBQCv8Iuug,3,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261785,
K1deLdDENAI,UCaNzWjA23x9EvaVU3jYw15A,4,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261788,
NHf56w1AmPw,UCaDVcGDMkvcRb4qGARkWlyg,5,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261790,
80CLoQsigTY,UClR8YIQX5Fb8J2wmsUKLhvQ,6,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261793,
tr5SuBwVc7Q,UCaNzWjA23x9EvaVU3jYw15A,7,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261795,
asirR98_dys,UC_zQoiPtBDvsThGroagm3ww,8,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261798,
OzO8EAOEGJ8,UCyGOloOIJWt8NlE4tnejQeA,9,homepage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:28:52.261801,
OvdQ-O_YQKw,UCTVaQEWhMwEzf8SXQfrE8FA,0,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824027,pKM-_x5vgNI
Ye7QvwCGniA,UCm-Xf8ZBgaUmWH3Dha7P7kg,1,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824037,pKM-_x5vgNI
gdsUKphmB3Y,UCDVYQ4Zhbm3S2dlz7P1GBDg,2,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824039,pKM-_x5vgNI
H_szemxPcTI,UCSHZKyawb77ixDdsGog4iWA,3,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824041,pKM-_x5vgNI
yCJHo-HC2d8,UCfgMUXOw9OUWQbngv5xScHg,4,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824043,pKM-_x5vgNI
KOwm7GUjcg8,UCSHZKyawb77ixDdsGog4iWA,5,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824044,pKM-_x5vgNI
0OCFq472_hc,UCX7KE1xF-GIZBhruy4Ru7mA,6,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824046,pKM-_x5vgNI
5RfqB76eHTQ,UCWkfj_089_g-iPx-zskcNWQ,7,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824048,pKM-_x5vgNI
kvbDZxZk8s0,UCdZ7t90tgjwOO9PVhzT5A2g,8,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824049,pKM-_x5vgNI
DcA5TotAkhs,UCzWwWbbKHg4aodl0S35R6XA,9,videopage,alt-right_dislike_recommendation_0,teardown,0,1,2022-05-13 10:29:10.824051,pKM-_x5vgNI
