result,point_estimate,standard_error,ci_low,ci_high
delete_aware,.5141401,.0383105,.4386832,.5895969
dislike_aware,.939411,.019807,.9004098,.9784122
not_int_aware,.5602737,.0336437,.4940213,.6265262
no_chan_aware,.3536512,.0296901,.295181,.4121214
delete_aware__exp,.5234087,.0399674,.444656,.6021614
dislike_aware__exp,.9380407,.0201103,.8984255,.9776559
not_int_aware__exp,.5710057,.0353603,.5013435,.640668
no_chan_aware__exp,.3662132,.0328623,.3014695,.430957
delete_use__exp_aware,.5364093,.0682039,.4012313,.6715873
dislike_use__exp_aware,.3774594,.0400688,.2985012,.4564175
not_int_use__exp_aware,.8283168,.04166,.7460223,.9106113
no_chan_use__exp_aware,.8052666,.0483532,.709442,.9010912
delete_eff__exp_aware,3.459837,.1195139,3.222809,3.696864
dislike_eff__exp_aware,2.455422,.1054599,2.24752,2.663323
not_int_eff__exp_aware,3.352091,.1779501,3.00036,3.703823
no_chan_eff__exp_aware,3.988873,.1654155,3.660991,4.316756
delete_eff__exp_aware_use,3.759445,.1243537,3.509277,4.009612
dislike_eff__exp_aware_use,2.52025,.1251414,2.270014,2.770486
not_int_eff__exp_aware_use,3.417962,.1659856,3.08935,3.746574
no_chan_eff__exp_aware_use,4.102088,.166951,3.770255,4.433921
delete_eff__exp_aware_no_use,3.078708,.1308785,2.816421,3.340994
dislike_eff__exp_aware_no_use,2.275059,.110966,2.055765,2.494354
not_int_eff__exp_aware_no_use,3.327584,.2543416,2.800112,3.855056
no_chan_eff__exp_aware_no_use,3.472051,.1554976,3.147689,3.796414
